DATE,VABPPRIVSA
2000-01-01,13013.13330389270
2000-04-01,11530.4380206627192
2000-07-01,11909.8268197123904
2000-10-01,11764.7116663483493
2001-01-01,14098.41072437188
2001-04-01,12715.75119757476
2001-07-01,11510.9617864247997
2001-10-01,12691.07344955451
2002-01-01,14480.076583003031
2002-04-01,13911.10174252351
2002-07-01,15130.180975633489
2002-10-01,15320.34768433016
2003-01-01,13657.09402808182
2003-04-01,14480.499711184631
2003-07-01,14439.157592542670
2003-10-01,15011.2664429509395
2004-01-01,15007.87517406226
2004-04-01,15810.564189533409
2004-07-01,16467.242254289360
2004-10-01,14656.21835663412
2005-01-01,13611.10586629064
2005-04-01,15982.35041154027
2005-07-01,15341.0335074624695
2005-10-01,14383.98226607155
2006-01-01,14133.8359364219005
2006-04-01,12032.7600481436495
2006-07-01,10276.4894243576894
2006-10-01,9942.2594005190904
2007-01-01,9929.5561536961800
2007-04-01,9894.2608029776998
2007-07-01,8029.11072125084
2007-10-01,8285.50799777985
2008-01-01,8563.4751618503504
2008-04-01,6710.25129001725
2008-07-01,6049.88787464624
2008-10-01,5524.6533113459401
2009-01-01,4943.10275988146
2009-04-01,5271.30782323843
2009-07-01,5141.6703350551002
2009-10-01,5312.5898818822601
2010-01-01,5348.5558344416205
2010-04-01,5180.9239469217003
2010-07-01,5775.12425605079
2010-10-01,4084.2214252237403
2011-01-01,6121.0407289102194
2011-04-01,4915.63781378866
2011-07-01,5675.4029230814698
2011-10-01,4850.94794262725
2012-01-01,7132.22512165573
2012-04-01,6180.4888955271603
2012-07-01,6159.4392751807199
2012-10-01,7833.05307929422
2013-01-01,7436.56411693498
2013-04-01,7472.93085168117
2013-07-01,7478.5587365265706
2013-10-01,6566.3117649879304
2014-01-01,6800.5509427795399
2014-04-01,6947.0700191842404
2014-07-01,6823.39871200082
2014-10-01,7951.8143347215804
2015-01-01,6724.18337348317
2015-04-01,7808.45845163178
2015-07-01,8224.2456079390604
2015-10-01,8363.23849225366
2016-01-01,6716.49910887055
2016-04-01,7456.2144721550603
2016-07-01,7682.30020357531
2016-10-01,7080.6525259018200
2017-01-01,7398.1460573475903
2017-04-01,7478.05127230708
2017-07-01,7867.40770465218
2017-10-01,8966.6309268798503
2018-01-01,8606.6818259229298
2018-04-01,7415.7540844585403
2018-07-01,8207.9523367589099
2018-10-01,7095.6041745740897
2019-01-01,8060.4973733285697
2019-04-01,8045.39514458003
2019-07-01,9137.75370675854
2019-10-01,7588.01569244231
2020-01-01,7818.5681575483696
2020-04-01,8132.8467136867507
2020-07-01,9392.3548954472600
2020-10-01,8575.4698204687893
2021-01-01,10108.3892325186107
2021-04-01,9868.3790658172996
2021-07-01,9231.2334028585697
2021-10-01,10592.5959679980100
2022-01-01,10163.15281813607
2022-04-01,9962.79276014780
2022-07-01,9566.2067874608697
2022-10-01,9216.5619927280700
2023-01-01,8909.6971691692997
2023-04-01,8275.8632911260895
