DATE,VANA
2000-01-01,3474.1
2000-02-01,3477.5
2000-03-01,3495.8
2000-04-01,3500.8
2000-05-01,3511.9
2000-06-01,3519.6
2000-07-01,3520.9
2000-08-01,3525.3
2000-09-01,3538.5
2000-10-01,3549.3
2000-11-01,3556.5
2000-12-01,3559.7
2001-01-01,3534.0
2001-02-01,3534.7
2001-03-01,3537.8
2001-04-01,3528.9
2001-05-01,3529.0
2001-06-01,3528.0
2001-07-01,3530.0
2001-08-01,3525.8
2001-09-01,3516.5
2001-10-01,3501.7
2001-11-01,3498.0
2001-12-01,3495.0
2002-01-01,3495.7
2002-02-01,3498.7
2002-03-01,3498.4
2002-04-01,3500.5
2002-05-01,3502.4
2002-06-01,3504.0
2002-07-01,3498.7
2002-08-01,3499.7
2002-09-01,3498.6
2002-10-01,3498.6
2002-11-01,3497.5
2002-12-01,3496.9
2003-01-01,3494.6
2003-02-01,3490.9
2003-03-01,3487.9
2003-04-01,3486.7
2003-05-01,3493.0
2003-06-01,3490.9
2003-07-01,3498.2
2003-08-01,3502.8
2003-09-01,3507.7
2003-10-01,3519.7
2003-11-01,3529.8
2003-12-01,3529.7
2004-01-01,3539.6
2004-02-01,3551.2
2004-03-01,3561.7
2004-04-01,3569.7
2004-05-01,3577.7
2004-06-01,3585.6
2004-07-01,3596.9
2004-08-01,3600.3
2004-09-01,3602.8
2004-10-01,3617.1
2004-11-01,3623.2
2004-12-01,3631.3
2005-01-01,3633.0
2005-02-01,3640.7
2005-03-01,3638.8
2005-04-01,3652.1
2005-05-01,3656.1
2005-06-01,3658.6
2005-07-01,3675.5
2005-08-01,3682.1
2005-09-01,3694.8
2005-10-01,3688.1
2005-11-01,3695.1
2005-12-01,3700.1
2006-01-01,3715.3
2006-02-01,3720.6
2006-03-01,3727.5
2006-04-01,3725.2
2006-05-01,3730.0
2006-06-01,3736.9
2006-07-01,3736.4
2006-08-01,3739.6
2006-09-01,3736.8
2006-10-01,3738.8
2006-11-01,3743.3
2006-12-01,3750.2
2007-01-01,3763.7
2007-02-01,3762.6
2007-03-01,3769.1
2007-04-01,3767.7
2007-05-01,3770.3
2007-06-01,3773.8
2007-07-01,3774.1
2007-08-01,3772.4
2007-09-01,3775.0
2007-10-01,3773.0
2007-11-01,3777.4
2007-12-01,3779.6
2008-01-01,3787.7
2008-02-01,3787.9
2008-03-01,3783.1
2008-04-01,3787.4
2008-05-01,3783.2
2008-06-01,3782.5
2008-07-01,3780.6
2008-08-01,3777.6
2008-09-01,3770.3
2008-10-01,3760.1
2008-11-01,3746.3
2008-12-01,3731.7
2009-01-01,3704.6
2009-02-01,3690.0
2009-03-01,3672.0
2009-04-01,3653.0
2009-05-01,3656.2
2009-06-01,3651.4
2009-07-01,3639.9
2009-08-01,3639.1
2009-09-01,3628.9
2009-10-01,3629.0
2009-11-01,3629.0
2009-12-01,3624.5
2010-01-01,3617.6
2010-02-01,3598.0
2010-03-01,3617.7
2010-04-01,3639.5
2010-05-01,3659.9
2010-06-01,3659.9
2010-07-01,3662.8
2010-08-01,3658.1
2010-09-01,3654.5
2010-10-01,3664.3
2010-11-01,3664.2
2010-12-01,3665.7
2011-01-01,3677.4
2011-02-01,3681.0
2011-03-01,3685.5
2011-04-01,3687.6
2011-05-01,3683.6
2011-06-01,3683.2
2011-07-01,3691.5
2011-08-01,3690.3
2011-09-01,3714.1
2011-10-01,3709.5
2011-11-01,3713.4
2011-12-01,3711.8
2012-01-01,3724.0
2012-02-01,3727.7
2012-03-01,3733.4
2012-04-01,3728.0
2012-05-01,3724.5
2012-06-01,3726.8
2012-07-01,3718.5
2012-08-01,3732.7
2012-09-01,3746.4
2012-10-01,3758.0
2012-11-01,3759.0
2012-12-01,3761.0
2013-01-01,3764.2
2013-02-01,3769.6
2013-03-01,3770.1
2013-04-01,3761.7
2013-05-01,3756.2
2013-06-01,3757.3
2013-07-01,3757.4
2013-08-01,3761.5
2013-09-01,3765.8
2013-10-01,3761.6
2013-11-01,3768.6
2013-12-01,3763.8
2014-01-01,3763.9
2014-02-01,3759.1
2014-03-01,3764.7
2014-04-01,3781.4
2014-05-01,3789.3
2014-06-01,3790.6
2014-07-01,3786.0
2014-08-01,3788.9
2014-09-01,3794.1
2014-10-01,3792.6
2014-11-01,3797.0
2014-12-01,3801.4
2015-01-01,3812.5
2015-02-01,3815.8
2015-03-01,3808.3
2015-04-01,3832.5
2015-05-01,3847.7
2015-06-01,3853.7
2015-07-01,3869.6
2015-08-01,3878.2
2015-09-01,3887.4
2015-10-01,3897.3
2015-11-01,3902.3
2015-12-01,3907.7
2016-01-01,3890.3
2016-02-01,3896.2
2016-03-01,3904.1
2016-04-01,3911.3
2016-05-01,3907.5
2016-06-01,3912.5
2016-07-01,3915.7
2016-08-01,3922.0
2016-09-01,3927.8
2016-10-01,3929.9
2016-11-01,3935.0
2016-12-01,3934.7
2017-01-01,3936.4
2017-02-01,3946.6
2017-03-01,3948.3
2017-04-01,3951.5
2017-05-01,3954.2
2017-06-01,3960.7
2017-07-01,3962.7
2017-08-01,3963.3
2017-09-01,3969.2
2017-10-01,3971.5
2017-11-01,3969.3
2017-12-01,3982.0
2018-01-01,3991.0
2018-02-01,3995.5
2018-03-01,4000.9
2018-04-01,4004.6
2018-05-01,4010.5
2018-06-01,4017.9
2018-07-01,4021.5
2018-08-01,4017.8
2018-09-01,4015.2
2018-10-01,4020.9
2018-11-01,4027.2
2018-12-01,4026.9
2019-01-01,4041.3
2019-02-01,4040.9
2019-03-01,4047.8
2019-04-01,4052.2
2019-05-01,4055.2
2019-06-01,4063.5
2019-07-01,4064.2
2019-08-01,4061.1
2019-09-01,4059.1
2019-10-01,4074.2
2019-11-01,4076.4
2019-12-01,4078.0
2020-01-01,4089.6
2020-02-01,4088.7
2020-03-01,4069.9
2020-04-01,3613.1
2020-05-01,3634.6
2020-06-01,3711.8
2020-07-01,3760.9
2020-08-01,3825.2
2020-09-01,3854.4
2020-10-01,3868.4
2020-11-01,3878.4
2020-12-01,3887.9
2021-01-01,3901.1
2021-02-01,3899.5
2021-03-01,3914.1
2021-04-01,3916.6
2021-05-01,3929.8
2021-06-01,3936.9
2021-07-01,3960.1
2021-08-01,3972.3
2021-09-01,3967.4
2021-10-01,3988.1
2021-11-01,3999.7
2021-12-01,4011.9
2022-01-01,4012.7
2022-02-01,4035.1
2022-03-01,4038.5
2022-04-01,4051.1
2022-05-01,4055.4
2022-06-01,4053.9
2022-07-01,4082.7
2022-08-01,4091.1
2022-09-01,4106.7
2022-10-01,4106.1
2022-11-01,4108.3
2022-12-01,4111.9
2023-01-01,4128.0
2023-02-01,4133.1
2023-03-01,4136.7
2023-04-01,4140.0
2023-05-01,4143.5
2023-06-01,4146.4
