GISJOIN,SOURCE,YEAR,STATE,STATEFP,COUNTY,COUNTYFP,White,Black,American Indian and Alaska Native,Asian and Pacific Islander and Other Race,Two or more races,White (MOE),Black (MOE),American Indian and Alaska Native (MOE),Asian and Pacific Islander and Other Race (MOE),Two or more races (MOE)
G2400390,Census,1970,Maryland,24,Somerset County,039,11826,7087,2,9,NA,NA,NA,NA,NA,NA
G2400390,Census,1980,Maryland,24,Somerset County,039,12426,6639,41,59,NA,NA,NA,NA,NA,NA
G2400390,Census,1990,Maryland,24,Somerset County,039,14282,8943,47,168,NA,NA,NA,NA,NA,NA
G2400390,Census,2000,Maryland,24,Somerset County,039,13949,10172,92,238,296,NA,NA,NA,NA,NA
G2400390,Census,2010,Maryland,24,Somerset County,039,14170,11192,85,562,461,NA,NA,NA,NA,NA
G2400390,ACS,2006-2010,Maryland,24,Somerset County,039,14300,10661,113,615,722,170,210,126,185,254
G2400390,ACS,2007-2011,Maryland,24,Somerset County,039,14292,10677,76,540,868,146,243,52,147,251
G2400390,ACS,2008-2012,Maryland,24,Somerset County,039,14267,10784,43,490,818,173,256,40,151,263
G2400390,ACS,2009-2013,Maryland,24,Somerset County,039,14059,10891,64,523,810,187,236,33,156,262
G2400390,ACS,2010-2014,Maryland,24,Somerset County,039,13855,10904,55,527,856,196,207,23,149,236
G2400390,ACS,2011-2015,Maryland,24,Somerset County,039,13703,10856,87,665,669,209,181,40,196,247
G2400390,ACS,2012-2016,Maryland,24,Somerset County,039,13719,10837,69,667,607,223,214,44,206,239
G2400390,ACS,2013-2017,Maryland,24,Somerset County,039,13703,10845,91,693,469,199,135,44,209,140
G2400390,ACS,2014-2018,Maryland,24,Somerset County,039,13600,10863,86,730,458,195,149,55,199,159
G2400390,ACS,2015-2019,Maryland,24,Somerset County,039,13569,10910,98,530,622,120,278,89,135,225
G2400390,Census,2020,Maryland,24,Somerset County,039,13076,9505,115,930,994,NA,NA,NA,NA,NA
G2400390,ACS,2016-2020,Maryland,24,Somerset County,039,13510,10696,85,433,975,121,428,54,122,380
G2400390,ACS,2017-2021,Maryland,24,Somerset County,039,12965,10167,59,524,1119,125,424,42,147,436
G2400390,ACS,2018-2022,Maryland,24,Somerset County,039,13043,9884,51,439,1255,141,413,33,150,424
