column_name,shp_name,type
geoid,,text
parcelnumb,,text
parcelnumb_no_formatting,parcelnu_1,text
state_parcelnumb,state_parc,text
account_number,account_nu,text
tax_id,,text
alt_parcelnumb1,alt_parcel,text
alt_parcelnumb2,alt_parc_1,text
alt_parcelnumb3,alt_parc_2,text
usecode,,text
usedesc,,text
zoning,,text
zoning_description,zoning_des,text
zoning_type,zoning_typ,text
zoning_subtype,zoning_sub,text
zoning_code_link,zoning_cod,text
zoning_id,,integer
struct,,boolean
structno,,integer
yearbuilt,,integer
numstories,,double precision
numunits,,integer
numrooms,,double precision
structstyle,structstyl,text
parvaltype,,text
improvval,,double precision
landval,,double precision
parval,,double precision
agval,,double precision
homestead_exemption,homestead_,text
saleprice,,double precision
saledate,,date
taxamt,,double precision
taxyear,,text
owntype,,text
owner,,text
ownfrst,,text
ownlast,,text
owner2,,text
owner3,,text
owner4,,text
previous_owner,previous_o,text
mailadd,,text
mail_address2,mail_addre,text
careof,,text
mail_addno,,text
mail_addpref,mail_addpr,text
mail_addstr,mail_addst,text
mail_addsttyp,mail_add_1,text
mail_addstsuf,mail_add_2,text
mail_unit,,text
mail_city,,text
mail_state2,mail_state,text
mail_zip,,text
mail_urbanization,mail_urban,text
mail_country,,text
address,,text
address2,,text
original_address,original_a,text
saddno,,text
saddpref,,text
saddstr,,text
saddsttyp,,text
saddstsuf,,text
sunit,,text
scity,,text
city,,text
county,,text
state2,,text
szip,,text
szip5,,text
urbanization,urbanizati,text
ll_address_count,ll_address,integer
location_name,location_n,text
address_source,address_so,text
legaldesc,,text
plat,,text
book,,text
page,,text
block,,text
lot,,text
neighborhood,neighborho,text
subdivision,subdivisio,text
lat,,text
lon,,text
fema_flood_zone,fema_flood,text
fema_flood_zone_subtype,fema_flo_1,text
fema_flood_zone_raw,fema_flo_2,text
fema_flood_zone_data_date,fema_flo_3,date
qoz,,text
qoz_tract,,text
census_tract,census_tra,text
census_block,census_blo,text
census_blockgroup,census_b_1,text
census_zcta,census_zct,text
census_elementary_school_district,census_ele,text
census_secondary_school_district,census_sec,text
census_unified_school_district,census_uni,text
ll_last_refresh,ll_last_re,date
sourceurl,,text
recrdareatx,recrdareat,text
recrdareano,recrdarean,integer
gisacre,,double precision
sqft,,double precision
ll_gisacre,,double precision
ll_gissqft,,integer
ll_bldg_footprint_sqft,ll_bldg_fo,integer
ll_bldg_count,ll_bldg_co,integer
cdl_raw,,text
cdl_majority_category,cdl_majori,text
cdl_majority_percent,cdl_majo_1,double precision
cdl_date,,text
plss_township,plss_towns,text
plss_section,plss_secti,text
plss_range,,text
reviseddate,reviseddat,date
path,,text
ll_stable_id,ll_stable_,text
ll_uuid,,uuid
ll_stack_uuid,ll_stack_u,text
ll_row_parcel,ll_row_par,text
ll_updated_at,ll_updated,timestamptz
placekey,,text
dpv_status,,text
dpv_codes,,text
dpv_notes,,text
dpv_type,,text
cass_errorno,cass_error,text
rdi,,text
usps_vacancy,usps_vacan,text
usps_vacancy_date,usps_vac_1,date
padus_public_access,padus_publ,text
lbcs_activity,lbcs_activ,numeric
lbcs_activity_desc,lbcs_act_1,text
lbcs_function,lbcs_funct,numeric
lbcs_function_desc,lbcs_fun_1,text
lbcs_structure,lbcs_struc,numeric
lbcs_structure_desc,lbcs_str_1,text
lbcs_site,,numeric
lbcs_site_desc,lbcs_site_,text
lbcs_ownership,lbcs_owner,numeric
lbcs_ownership_desc,lbcs_own_1,text
